index,tomo_id,particle_id,x_map,y_map,z_map,x_map_a,y_map_a,z_map_a,v_x,v_y,v_z
13,tomo_1-2-003,14,1100.000,1159.500, 204.500,19360.000,20407.200,3599.200,   0.430,   0.234,  -0.872
14,tomo_1-2-003,15,1134.500,1086.500, 203.000,19967.200,19122.400,3572.800,   0.373,   0.209,  -0.904
15,tomo_1-2-003,16,1199.000, 961.000, 187.000,21102.400,16913.600,3291.200,  -0.495,   0.032,  -0.868
16,tomo_1-2-003,17,1275.500, 830.500, 142.000,22448.800,14616.800,2499.200,  -0.638,  -0.412,  -0.651
17,tomo_1-2-003,18,1304.500, 787.000, 122.000,22959.200,13851.200,2147.200,  -0.745,  -0.130,  -0.655
18,tomo_1-2-003,19,1346.500, 662.500, 151.500,23698.400,11660.000,2666.400,  -0.674,  -0.388,  -0.629
19,tomo_1-2-003,20,1141.500, 530.500,  89.000,20090.400,9336.800,1566.400,   0.440,   0.784,  -0.439
20,tomo_1-2-003,21, 981.000, 847.000, 125.000,17265.600,14907.200,2200.000,   0.837,   0.401,  -0.373
21,tomo_1-2-003,22, 907.500, 950.000, 103.000,15972.000,16720.000,1812.800,   0.839,   0.429,  -0.336
22,tomo_1-2-003,23, 588.500,1319.000,  70.500,10357.600,23214.400,1240.800,   0.775,   0.475,  -0.416
23,tomo_1-2-003,24, 530.000,1388.000,  71.000,9328.000,24428.800,1249.600,   0.695,   0.625,  -0.356
24,tomo_1-2-003,25, 510.000,1409.000,  66.500,8976.000,24798.400,1170.400,   0.741,   0.569,  -0.357
