#
# Machine: bebop ['Linux', 'x86_64', 'x86_64']
# Image: ../3d/tomo.mrc (Tue Jan 14 17:09:39 2020)
# Boundaries: ../viz/labels.mrc (Tue Jan 14 17:11:59 2020)
# Segments: ../viz/labels.mrc (Tue Jan 14 17:11:59 2020)
# Layers (output): layers.mrc (Tue Jan 14 17:13:01 2020)
# Input script: layers.py (Mon Jan 13 21:59:23 2020)
# Working directory: /fs/pool/pool-lucic2/pyto/presynaptic_example_small/segmentation/cell_tomo-4/layers
#
# Segment ids: [[36, 48, 49, 50, 52, 58, 59, 60, 61]]
#
# Layer ids:
#     - layers region: 1 - 100
#     - extra layers:      1 - 0
#
#
#                  Layers                          Segments      
# Id            Grey value        Volume   Num Num/Vol  Vol fract
#       mean   std    min    max                                 
   1  1992.15 752.625 -783.00 5460.54  13754    0 0.000000 0.00000
   2  1976.52 775.487 -1008.98 5087.41  10811    0 0.000000 0.00231
   3  1973.71 801.978 -1082.02 4720.91   8947    0 0.000000 0.01308
   4  1988.17 793.575 -882.11 4828.32  11200    0 0.000000 0.03920
   5  1967.89 802.600 -843.72 4617.72  10849    0 0.000000 0.07263
   6  1938.44 795.275 -1408.30 4787.45  10244    0 0.000000 0.10426
   7  1928.91 789.662 -1044.57 5268.18  10046    0 0.000000 0.13299
   8  1941.65 787.949 -1093.84 4590.20   9782    0 0.000000 0.14925
   9  1926.43 761.145 -1367.47 4849.76  12347    0 0.000000 0.17940
  10  1905.20 772.519 -1044.95 4826.68  10089    0 0.000000 0.19298
  11  1885.41 748.254 -719.91 4364.16  10333    0 0.000000 0.20739
  12  1861.13 757.104 -1298.33 4482.76  10217    0 0.000000 0.21836
  13  1862.82 746.360 -913.72 4619.24  11432    0 0.000000 0.22708
  14  1856.08 758.996 -1226.05 4623.24  10857    1 0.000092 0.23174
  15  1855.71 741.456 -1166.96 4693.57   9624    1 0.000104 0.23275
  16  1844.82 742.608 -1508.40 4657.23  11038    3 0.000272 0.23292
  17  1846.21 750.445 -926.48 4378.21  11264    0 0.000000 0.22692
  18  1833.96 757.488 -921.56 4894.75  10750    0 0.000000 0.21963
  19  1824.91 746.007 -929.08 4336.31  10157    0 0.000000 0.21345
  20  1839.10 750.857 -766.89 4562.67  10040    0 0.000000 0.19990
  21  1841.80 734.469 -843.37 4647.50  11261    0 0.000000 0.18489
  22  1826.30 753.902 -1015.15 4617.38  10238    0 0.000000 0.16351
  23  1805.31 769.273 -986.01 4753.51  10002    0 0.000000 0.14787
  24  1783.08 765.029 -1158.06 4716.19  10263    0 0.000000 0.13378
  25  1786.51 743.932 -791.63 5231.61  10160    0 0.000000 0.10709
  26  1831.65 756.254 -1184.96 4773.82  10755    0 0.000000 0.08405
  27  1870.16 744.288 -832.49 4358.58  10053    0 0.000000 0.05929
  28  1896.67 716.494 -607.88 4362.33  10106    0 0.000000 0.04433
  29  1879.78 726.502 -797.34 4376.40  10077    0 0.000000 0.04079
  30  1872.04 725.271 -1236.50 4364.33  10368    0 0.000000 0.04369
  31  1858.66 733.570 -867.31 4321.24  10142    0 0.000000 0.04674
  32  1861.39 712.051 -786.53 4543.34   9871    0 0.000000 0.05096
  33  1879.93 724.276 -1199.61 4474.29  10021    0 0.000000 0.04960
  34  1859.87 730.708 -944.30 4225.45  10390    0 0.000000 0.05014
  35  1830.38 715.792 -1352.23 4260.83   9830    1 0.000102 0.05443
  36  1816.54 726.508 -970.72 4508.76   9991    0 0.000000 0.06216
  37  1803.24 727.025 -845.18 4867.72   9783    0 0.000000 0.06849
  38  1796.76 738.246 -1176.77 4611.25  10012    0 0.000000 0.07321
  39  1803.43 760.271 -833.13 4605.11   9760    0 0.000000 0.08064
  40  1836.89 718.713 -1034.22 4799.08   9709    0 0.000000 0.08363
  41  1833.10 714.220 -847.90 4393.52   9808    0 0.000000 0.08534
  42  1781.94 714.206 -1524.23 4210.93   9830    0 0.000000 0.08454
  43  1807.38 710.346 -686.38 4235.73   9687    0 0.000000 0.08537
  44  1824.48 724.261 -786.56 4308.97   9598    0 0.000000 0.08377
  45  1832.59 720.190 -1020.42 4332.42   9674    0 0.000000 0.08042
  46  1835.52 726.829 -1264.35 4387.98   9413    0 0.000000 0.07755
  47  1824.86 714.963 -944.07 4200.25   9544    0 0.000000 0.06716
  48  1793.52 698.482 -730.68 4109.36   9514    0 0.000000 0.06569
  49  1826.57 697.217 -736.09 4282.91   9549    1 0.000105 0.06367
  50  1813.96 700.669 -707.11 4880.19   9332    0 0.000000 0.06472
  51  1800.12 710.149 -999.59 4221.28   9434    0 0.000000 0.06042
  52  1789.02 705.967 -1062.09 4484.48   9405    0 0.000000 0.05976
  53  1803.43 692.552 -990.48 4157.67   9120    0 0.000000 0.05822
  54  1793.19 707.403 -680.26 4510.83   9059    0 0.000000 0.05387
  55  1783.76 710.030 -840.54 4357.93   9233    0 0.000000 0.04993
  56  1823.65 697.159 -808.17 4370.64   9060    0 0.000000 0.04448
  57  1813.10 691.111 -674.14 4193.61   9038    0 0.000000 0.04182
  58  1795.80 704.245 -745.52 4436.34   8709    0 0.000000 0.03410
  59  1763.83 703.528 -708.64 4361.11   8987    0 0.000000 0.02815
  60  1783.90 697.562 -1127.56 4761.19   8833    0 0.000000 0.01981
  61  1825.16 686.172 -692.98 4147.33   8607    0 0.000000 0.01336
  62  1857.04 677.184 -565.68 4328.48   8397    0 0.000000 0.00488
  63  1831.77 671.129 -565.65 4304.02   7977    0 0.000000 0.00013
  64  1823.83 686.580 -744.11 4457.37   8498    0 0.000000 0.00000
  65  1799.76 683.076 -851.14 4177.71   8125    0 0.000000 0.00000
  66  1820.74 677.780 -1098.83 4382.31   7833    0 0.000000 0.00000
  67  1845.62 674.132 -629.19 3963.26   7894    0 0.000000 0.00000
  68  1855.97 673.965 -693.98 4230.30   7705    0 0.000000 0.00000
  69  1851.57 657.262 -788.79 4703.27   7785    0 0.000000 0.00141
  70  1821.97 663.174 -480.17 4283.97   7475    0 0.000000 0.01458
  71  1799.11 682.344 -560.26 4548.03   7224    0 0.000000 0.03461
  72  1795.85 660.770 -777.76 4346.58   7581    0 0.000000 0.05039
  73  1786.27 681.128 -1054.64 4229.32   7315    0 0.000000 0.07054
  74  1776.81 685.236 -1106.59 4282.63   7231    0 0.000000 0.08685
  75  1759.75 682.053 -779.08 4194.99   6994    0 0.000000 0.10037
  76  1768.68 657.718 -534.40 4274.83   6947    0 0.000000 0.10940
  77  1771.76 652.461 -589.89 4264.54   7090    0 0.000000 0.12553
  78  1791.58 643.931 -477.94 4403.48   6727    0 0.000000 0.13602
  79  1803.70 654.942 -708.41 4067.93   6642    0 0.000000 0.14243
  80  1813.03 656.258 -532.38 4195.10   6516    0 0.000000 0.15117
  81  1820.52 639.230 -542.39 3995.18   6606    0 0.000000 0.14835
  82  1799.82 642.765 -681.30 4550.63   6431    2 0.000311 0.15876
  83  1802.30 641.755 -404.68 3832.70   6110    0 0.000000 0.15957
  84  1789.91 658.831 -730.49 4097.91   6074    0 0.000000 0.15822
  85  1774.66 665.782 -808.41 4060.66   6234    0 0.000000 0.15014
  86  1800.57 640.432 -719.15 3819.74   5842    0 0.000000 0.14721
  87  1747.30 674.286 -679.15 4547.57   5795    0 0.000000 0.14323
  88  1768.33 665.412 -574.76 4176.67   5552    0 0.000000 0.13130
  89  1765.84 657.500 -744.68 3947.65   5732    0 0.000000 0.11602
  90  1749.18 668.352 -561.65 3914.78   5532    0 0.000000 0.10322
  91  1765.89 673.978 -476.56 3985.34   5184    0 0.000000 0.08758
  92  1778.75 652.615 -277.30 3800.90   5293    0 0.000000 0.06594
  93  1799.02 641.138 -685.82 4443.16   5212    0 0.000000 0.03933
  94  1776.91 633.359 -479.34 3751.54   4988    0 0.000000 0.01343
  95  1772.11 645.205 -1006.43 3946.68   4911    0 0.000000 0.00020
  96  1792.57 639.289 -448.02 4047.61   4696    0 0.000000 0.00000
  97  1765.87 638.008 -395.95 4071.14   4863    0 0.000000 0.00000
  98  1753.56 650.176 -392.37 3993.10   4650    0 0.000000 0.00000
  99  1740.97 647.259 -605.18 3748.25   4448    0 0.000000 0.00000
 100  1748.68 637.196 -627.98 3880.54   4335    0 0.000000 0.00000
